"カード名","マナコスト","タイプ","テキスト","オラクル","Ｐ／Ｔ","忠誠度","フレーバ","イラスト","セット等","再録"
"城砦化した塁壁/Fortified Rampart ","(１)(白)","クリーチャー — 壁(Wall) ","防衛",Defender,0/6,-,,"David Gaillet","コモン, 戦乱のゼンディカー (27/274) ",-
"幽霊の歩哨/Ghostly Sentinel ","(４)(白)","クリーチャー — コー(Kor)・スピリット(Spirit) ","飛行、警戒","Flying, vigilance",3/3,-,,Daarken,"コモン, 戦乱のゼンディカー (28/274) ",-
"ゼンディカーの同盟者、ギデオン/Gideon, Ally of Zendikar ","(２)(白)(白)","プレインズウォーカー — ギデオン(Gideon) ","[+1]：ターン終了時まで、ゼンディカーの同盟者、ギデオンは破壊不能を持つ5/5の人間(Human)・兵士(Soldier)・同盟者(Ally)クリーチャーになる。これはプレインズウォーカーでもある。このターン、これに与えられるすべてのダメージを軽減する。[0]：白の2/2の騎士(Knight)・同盟者クリーチャー・トークンを１体戦場に出す。[-4]：あなたは「あなたがコントロールするクリーチャーは+1/+1の修整を受ける。」を持つ紋章を得る。","+1: Until end of turn, Gideon, Ally of Zendikar becomes a 5/5 Human Soldier Ally creature with indestructible that's still a planeswalker. Prevent all damage that would be dealt to him this turn.0: Put a 2/2 white Knight Ally creature token onto the battlefield.-4: You get an emblem with ""Creatures you control get +1/+1.""",-,4,,"Eric Deschamps","神話レア, 戦乱のゼンディカー (29/274) ",-
"ギデオンの叱責/Gideon's Reproach ","(１)(白)","インスタント ","攻撃かブロックしているクリーチャー１体を対象とする。ギデオンの叱責はそれに４点のダメージを与える。","Gideon's Reproach deals 4 damage to target attacking or blocking creature.",-,-,,"Dan Scott","コモン, 戦乱のゼンディカー (30/274) ",-
"ゴーマ・ファーダの英雄/Hero of Goma Fada ","(４)(白)","クリーチャー — 人間(Human)・騎士(Knight)・同盟者(Ally) ","結集 ― ゴーマ・ファーダの英雄か他の同盟者(Ally)が１体あなたのコントロール下で戦場に出るたび、ターン終了時まで、あなたがコントロールするクリーチャーは破壊不能を得る。","Rally --- Whenever Hero of Goma Fada or another Ally enters the battlefield under your control, creatures you control gain indestructible until end of turn.",4/3,-,,"Lake Hurwitz","レア, 戦乱のゼンディカー (31/274) ",-
"鼓舞する突撃/Inspired Charge （こぶするとつげき） ","(２)(白)(白)","インスタント ","ターン終了時まで、あなたがコントロールするクリーチャーは+2/+1の修整を受ける。","Creatures you control get +2/+1 until end of turn.",-,-,,"Willian Murai","コモン, 戦乱のゼンディカー (32/274) ","BFZ M15 M11 "
"帆凧の斥候/Kitesail Scout ","(白)","クリーチャー — コー(Kor)・スカウト(Scout) ","飛行",Flying,1/1,-,,"Dan Scott","コモン, 戦乱のゼンディカー (33/274) ",-
"コーの刃振り/Kor Bladewhirl ","(１)(白)","クリーチャー — コー(Kor)・兵士(Soldier)・同盟者(Ally) ","結集 ― コーの刃振りか他の同盟者(Ally)が１体あなたのコントロール下で戦場に出るたび、ターン終了時まで、あなたがコントロールするクリーチャーは先制攻撃を得る。","Rally --- Whenever Kor Bladewhirl or another Ally enters the battlefield under your control, creatures you control gain first strike until end of turn.",2/2,-,,"Steven Belledin","アンコモン, 戦乱のゼンディカー (34/274) ",-
"コーの懲罰者/Kor Castigator ","(１)(白)","クリーチャー — コー(Kor)・ウィザード(Wizard)・同盟者(Ally) ","コーの懲罰者はエルドラージ(Eldrazi)・末裔(Scion)によってはブロックされない。","Kor Castigator can't be blocked by Eldrazi Scions.",3/1,-,,"Greg Opalinski","コモン, 戦乱のゼンディカー (35/274) ",-
"コーの絡め捕り/Kor Entanglers ","(４)(白)","クリーチャー — コー(Kor)・兵士(Soldier)・同盟者(Ally) ","結集 ― コーの絡め捕りか他の同盟者(Ally)が１体あなたのコントロール下で戦場に出るたび、対戦相手がコントロールするクリーチャー１体を対象とし、それをタップする。","Rally --- Whenever Kor Entanglers or another Ally enters the battlefield under your control, tap target creature an opponent controls.",3/4,-,,"Jason Rainville","アンコモン, 戦乱のゼンディカー (36/274) ",-
"ランタンの斥候/Lantern Scout ","(２)(白)","クリーチャー — 人間(Human)・スカウト(Scout)・同盟者(Ally) ","結集 ― ランタンの斥候か他の同盟者(Ally)が１体あなたのコントロール下で戦場に出るたび、ターン終了時まで、あなたがコントロールするクリーチャーは絆魂を得る。","Rally --- Whenever Lantern Scout or another Ally enters the battlefield under your control, creatures you control gain lifelink until end of turn.",3/2,-,,"Steven Belledin","レア, 戦乱のゼンディカー (37/274) ",-
"石術師の焦点/Lithomancer's Focus ","(白)","インスタント ","クリーチャー１体を対象とする。ターン終了時まで、それは+2/+2の修整を受ける。このターン、無色の発生源からそのクリーチャーに与えられるすべてのダメージを軽減する。","Target creature gets +2/+2 until end of turn. Prevent all damage that would be dealt to that creature this turn by colorless sources.",-,-,,"Cynthia Sheppard","コモン, 戦乱のゼンディカー (38/274) ",-
"マキンディの巡回兵/Makindi Patrol ","(２)(白)","クリーチャー — 人間(Human)・騎士(Knight)・同盟者(Ally) ","結集 ― マキンディの巡回兵か他の同盟者(Ally)が１体あなたのコントロール下で戦場に出るたび、ターン終了時まで、あなたがコントロールするクリーチャーは警戒を得る。","Rally --- Whenever Makindi Patrol or another Ally enters the battlefield under your control, creatures you control gain vigilance until end of turn.",2/3,-,,"David Palumbo","コモン, 戦乱のゼンディカー (39/274) ",-
"オンドゥの大角/Ondu Greathorn ","(３)(白)","クリーチャー — ビースト(Beast) ","先制攻撃上陸 ― 土地が１つあなたのコントロール下で戦場に出るたび、ターン終了時まで、オンドゥの大角は+2/+2の修整を受ける。","First strikeLandfall --- Whenever a land enters the battlefield under your control, Ondu Greathorn gets +2/+2 until end of turn.",2/3,-,,"Aaron Miller","コモン, 戦乱のゼンディカー (40/274) ",-
"オンドゥの蜂起/Ondu Rising ","(１)(白)","ソーサリー ","このターン、クリーチャーが１体攻撃するたび、ターン終了時まで、それは絆魂を得る。覚醒４ ― (４)(白)（この呪文を(４)(白)で唱えたなら、加えて、あなたがコントロールする土地１つを対象とする。それの上に+1/+1カウンターを４個置く。それは速攻を持つ0/0のエレメンタル(Elemental)・クリーチャーになる。それは土地でもある。）","Whenever a creature attacks this turn, it gains lifelink until end of turn.Awaken 4 --- {4}{W} （If you cast this spell for {4}{W}, also put four +1/+1 counters on target land you control and it becomes a 0/0 Elemental creature with haste. It's still a land.）",-,-,,"Igor Kieryluk","アンコモン, 戦乱のゼンディカー (41/274) ",-
"次元の激高/Planar Outburst ","(３)(白)(白)","ソーサリー ","すべての土地でないクリーチャーを破壊する。覚醒４ ― (５)(白)(白)(白)（この呪文を(５)(白)(白)(白)で唱えたなら、加えて、あなたがコントロールする土地１つを対象とする。それの上に+1/+1カウンターを４個置く。それは速攻を持つ0/0のエレメンタル(Elemental)・クリーチャーになる。それは土地でもある。）","Destroy all nonland creatures.Awaken 4 --- {5}{W}{W}{W} （If you cast this spell for {5}{W}{W}{W}, also put four +1/+1 counters on target land you control and it becomes a 0/0 Elemental creature with haste. It's still a land.）",-,-,,"Vincent Proce","レア, 戦乱のゼンディカー (42/274) ",-
"隔離の場/Quarantine Field ","(Ｘ)(Ｘ)(白)(白)","エンチャント ","隔離の場は、(isolation)・カウンターがＸ個置かれた状態で戦場に出る。隔離の場が戦場に出たとき、これの上に置かれている・カウンター１個につき、対戦相手がコントロールする土地でないパーマネントを最大１つ対象とし、隔離の場が戦場を離れるまでそれらを追放する。","Quarantine Field enters the battlefield with X isolation counters on it.When Quarantine Field enters the battlefield, for each isolation counter on it, exile up to one target nonland permanent an opponent controls until Quarantine Field leaves the battlefield.",-,-,,Daarken,"神話レア, 戦乱のゼンディカー (43/274) ",-
"エメリアへの撤退/Retreat to Emeria ","(３)(白)","エンチャント ","上陸 ― 土地が１つあなたのコントロール下で戦場に出るたび、以下から１つを選ぶ。・白の1/1のコー(Kor)・同盟者(Ally)クリーチャー・トークンを１体戦場に出す。・ターン終了時まで、あなたがコントロールするクリーチャーは+1/+1の修整を受ける。","Landfall --- Whenever a land enters the battlefield under your control, choose one ---• Put a 1/1 white Kor Ally creature token onto the battlefield.• Creatures you control get +1/+1 until end of turn.",-,-,,"Kieran Yanner","アンコモン, 戦乱のゼンディカー (44/274) ",-
"乱動の報復/Roil's Retribution ","(３)(白)(白)","インスタント ","攻撃かブロックしているクリーチャーを望む数対象とする。乱動の報復はそれらに、５点のダメージをあなたの望むように分割して与える。","Roil's Retribution deals 5 damage divided as you choose among any number of target attacking or blocking creatures.",-,-,,"Raymond Swanland","アンコモン, 戦乱のゼンディカー (45/274) ",-
"物静かな使用人/Serene Steward ","(１)(白)","クリーチャー — 人間(Human)・クレリック(Cleric)・同盟者(Ally) ","あなたがライフを得るたび、クリーチャー１体を対象とする。あなたは(白)を支払ってもよい。そうしたなら、それの上に+1/+1カウンターを１個置く。","Whenever you gain life, you may pay {W}. If you do, put a +1/+1 counter on target creature.",2/2,-,,"Magali Villeneuve","アンコモン, 戦乱のゼンディカー (46/274) ",-
"影の滑空者/Shadow Glider ","(２)(白)","クリーチャー — コー(Kor)・兵士(Soldier) ","飛行",Flying,2/2,-,,"Steve Prescott","コモン, 戦乱のゼンディカー (47/274) ",-
"真っ逆さま/Sheer Drop ","(２)(白)","ソーサリー ","タップ状態のクリーチャー１体を対象とし、それを破壊する。覚醒３ ― (５)(白)（この呪文を(５)(白)で唱えたなら、加えて、あなたがコントロールする土地１つを対象とする。それの上に+1/+1カウンターを３個置く。それは速攻を持つ0/0のエレメンタル(Elemental)・クリーチャーになる。それは土地でもある。）","Destroy target tapped creature.Awaken 3 --- {5}{W} （If you cast this spell for {5}{W}, also put three +1/+1 counters on target land you control and it becomes a 0/0 Elemental creature with haste. It's still a land.）",-,-,,"Clint Cearley","コモン, 戦乱のゼンディカー (48/274) ",-
"大物潰し/Smite the Monstrous （おおものつぶし） ","(３)(白)","インスタント ","パワーが４以上のクリーチャー１体を対象とし、それを破壊する。","Destroy target creature with power 4 or greater.",-,-,,"Jakub Kasper","コモン, 戦乱のゼンディカー (49/274) ","BFZ KTK ISD DDL "
"停滞の罠/Stasis Snare ","(１)(白)(白)","エンチャント ","瞬速（あなたはこの呪文を、あなたがインスタントを唱えられるときならいつでも唱えてよい。）停滞の罠が戦場に出たとき、対戦相手がコントロールするクリーチャー１体を対象とし、停滞の罠が戦場を離れるまでそれを追放する。（そのクリーチャーはオーナーのコントロール下で戦場に戻る。）","Flash （You may cast this spell any time you could cast an instant.）When Stasis Snare enters the battlefield, exile target creature an opponent controls until Stasis Snare leaves the battlefield. （That creature returns under its owner's control.）",-,-,,"Jason Felix","アンコモン, 戦乱のゼンディカー (50/274) ",-
"岩屋の衛生兵/Stone Haven Medic ","(１)(白)","クリーチャー — コー(Kor)・クレリック(Cleric) ","(白),(Ｔ)：あなたは１点のライフを得る。","{W}, {T}: You gain 1 life.",1/3,-,,"Anna Steinbauer","コモン, 戦乱のゼンディカー (51/274) ",-
"二人戦術/Tandem Tactics ","(１)(白)","インスタント ","クリーチャーを最大２体対象とする。ターン終了時まで、それらはそれぞれ+1/+2の修整を受ける。あなたは２点のライフを得る。","Up to two target creatures each get +1/+2 until end of turn. You gain 2 life.",-,-,,"David Gaillet","コモン, 戦乱のゼンディカー (52/274) ",-
"統一戦線/Unified Front ","(３)(白)","ソーサリー ","収斂 ― 統一戦線を唱えるために支払われたマナの色１色につき、白の1/1のコー(Kor)・同盟者(Ally)クリーチャー・トークンを１体戦場に出す。","Converge --- Put a 1/1 white Kor Ally creature token onto the battlefield for each color of mana spent to cast Unified Front.",-,-,,"Dan Scott","アンコモン, 戦乱のゼンディカー (53/274) ",-
"逆境/Adverse Conditions ","(３)(青)","インスタント ","欠色（このカードは無色である。）クリーチャーを最大２体対象とし、それらをタップする。それらのクリーチャーは、それらのコントローラーの次のアンタップ・ステップにアンタップしない。無色の1/1のエルドラージ(Eldrazi)・末裔(Scion)クリーチャー・トークンを１体戦場に出す。それは「このクリーチャーを生け贄に捧げる：あなたのマナ・プールに(１)を加える。」を持つ。","Devoid （This card has no color.）Tap up to two target creatures. Those creatures don't untap during their controller's next untap step. Put a 1/1 colorless Eldrazi Scion creature token onto the battlefield. It has ""Sacrifice this creature: Add {1} to your mana pool.""",-,-,,"Jason Rainville","アンコモン, 戦乱のゼンディカー (54/274) ",-
"水底の潜入者/Benthic Infiltrator ","(２)(青)","クリーチャー — エルドラージ(Eldrazi)・ドローン(Drone) ","欠色（このカードは無色である。）嚥下（このクリーチャーがプレイヤー１人に戦闘ダメージを与えるたび、そのプレイヤーは自分のライブラリーの一番上のカードを追放する。）水底の潜入者はブロックされない。","Devoid （This card has no color.）Ingest （Whenever this creature deals combat damage to a player, that player exiles the top card of his or her library.）Benthic Infiltrator can't be blocked.",1/4,-,,"Mathias Kollros","コモン, 戦乱のゼンディカー (55/274) ",-
"謎めいた巡行者/Cryptic Cruiser ","(３)(青)","クリーチャー — エルドラージ(Eldrazi)・昇華者(Processor) ","欠色（このカードは無色である。）(２)(青),追放領域から対戦相手がオーナーであるカードを１枚そのプレイヤーの墓地に置く：クリーチャー１体を対象とし、それをタップする。","Devoid （This card has no color.）{2}{U}, Put a card an opponent owns from exile into that player's graveyard: Tap target creature.",3/3,-,,"Svetlin Velinov","アンコモン, 戦乱のゼンディカー (56/274) ",-
"希望を溺れさせるもの/Drowner of Hope ","(５)(青)","クリーチャー — エルドラージ(Eldrazi) ","欠色（このカードは無色である。）希望を溺れさせるものが戦場に出たとき、無色の1/1のエルドラージ(Eldrazi)・末裔(Scion)クリーチャー・トークンを２体戦場に出す。それらは「このクリーチャーを生け贄に捧げる：あなたのマナ・プールに(１)を加える。」を持つ。エルドラージ・末裔を１体生け贄に捧げる：クリーチャー１体を対象とし、それをタップする。","Devoid （This card has no color.）When Drowner of Hope enters the battlefield, put two 1/1 colorless Eldrazi Scion creature tokens onto the battlefield. They have ""Sacrifice this creature: Add {1} to your mana pool.""Sacrifice an Eldrazi Scion: Tap target creature.",5/5,-,,"Tomasz Jedruszek","レア, 戦乱のゼンディカー (57/274) ",-
"空中生成エルドラージ/Eldrazi Skyspawner ","(２)(青)","クリーチャー — エルドラージ(Eldrazi)・ドローン(Drone) ","欠色（このカードは無色である。）飛行空中生成エルドラージが戦場に出たとき、無色の1/1のエルドラージ(Eldrazi)・末裔(Scion)クリーチャー・トークンを１体戦場に出す。それは「このクリーチャーを生け贄に捧げる：あなたのマナ・プールに(１)を加える。」を持つ。","Devoid （This card has no color.）FlyingWhen Eldrazi Skyspawner enters the battlefield, put a 1/1 colorless Eldrazi Scion creature token onto the battlefield. It has ""Sacrifice this creature: Add {1} to your mana pool.""",2/1,-,,"Chase Stone","コモン, 戦乱のゼンディカー (58/274) ",-
"手酷い失敗/Horribly Awry ","(１)(青)","インスタント ","欠色（このカードは無色である。）点数で見たマナ・コストが４以下のクリーチャー呪文１つを対象とし、それを打ち消す。その呪文がこれにより打ち消されたなら、それをオーナーの墓地に置く代わりに追放する。","Devoid （This card has no color.）Counter target creature spell with converted mana cost 4 or less. If that spell is countered this way, exile it instead of putting it into its owner's graveyard.",-,-,,"Clint Cearley","アンコモン, 戦乱のゼンディカー (59/274) ",-
"培養ドローン/Incubator Drone ","(３)(青)","クリーチャー — エルドラージ(Eldrazi)・ドローン(Drone) ","欠色（このカードは無色である。）培養ドローンが戦場に出たとき、無色の1/1のエルドラージ(Eldrazi)・末裔(Scion)クリーチャー・トークンを１体戦場に出す。それは「このクリーチャーを生け贄に捧げる：あなたのマナ・プールに(１)を加える。」を持つ。","Devoid （This card has no color.）When Incubator Drone enters the battlefield, put a 1/1 colorless Eldrazi Scion creature token onto the battlefield. It has ""Sacrifice this creature: Add {1} to your mana pool.""",2/3,-,,"Cynthia Sheppard","コモン, 戦乱のゼンディカー (60/274) ",-
"霧の侵入者/Mist Intruder ","(１)(青)","クリーチャー — エルドラージ(Eldrazi)・ドローン(Drone) ","欠色（このカードは無色である。）飛行嚥下（このクリーチャーがプレイヤー１人に戦闘ダメージを与えるたび、そのプレイヤーは自分のライブラリーの一番上のカードを追放する。）","Devoid （This card has no color.）FlyingIngest （Whenever this creature deals combat damage to a player, that player exiles the top card of his or her library.）",1/2,-,,"Jason Rainville","コモン, 戦乱のゼンディカー (61/274) ",-
