"カード名","マナコスト","タイプ","テキスト","オラクル","Ｐ／Ｔ","忠誠度","フレーバ","イラスト","セット等","再録"
"領事の盾護員/Consul's Shieldguard （りょうじのじゅんごいん） ","(３)(白)","クリーチャー — ドワーフ(Dwarf)・兵士(Soldier) ","領事の盾護員が戦場に出たとき、あなたは(Ｅ)(Ｅ)（エネルギー・カウンター２個）を得る。領事の盾護員が攻撃するたび、他の攻撃クリーチャー１体を対象とする。あなたは(Ｅ)を支払ってもよい。そうしたなら、ターン終了時まで、それは破壊不能を得る。","When Consul's Shieldguard enters the battlefield, you get {E}{E} (two energy counters).Whenever Consul's Shieldguard attacks, you may pay {E}. If you do, another target attacking creature gains indestructible until end of turn.",3/4,-,,"David Gaillet","アンコモン, カラデシュ (11/264) ",-
"渦跡の鷹/Eddytrail Hawk （うずあとのたか） ","(１)(白)","クリーチャー — 鳥(Bird) ","飛行渦跡の鷹が戦場に出たとき、あなたは(Ｅ)(Ｅ)（エネルギー・カウンター２個）を得る。渦跡の鷹が攻撃するたび、他の攻撃クリーチャー１体を対象とする。あなたは(Ｅ)を支払ってもよい。そうしたなら、ターン終了時まで、それは飛行を得る。","FlyingWhen Eddytrail Hawk enters the battlefield, you get {E}{E} (two energy counters).Whenever Eddytrail Hawk attacks, you may pay {E}. If you do, another target attacking creature gains flying until end of turn.",1/2,-,,"James Paick","コモン, カラデシュ (12/264) ",-
"博覧会場の警備員/Fairgrounds Warden （はくらんかいじょうのけいびいん） ","(２)(白)","クリーチャー — ドワーフ(Dwarf)・兵士(Soldier) ","博覧会場の警備員が戦場に出たとき、対戦相手がコントロールするクリーチャー１体を対象とし、博覧会場の警備員が戦場を離れるまでそれを追放する。","When Fairgrounds Warden enters the battlefield, exile target creature an opponent controls until Fairgrounds Warden leaves the battlefield.",1/3,-,,Izzy,"アンコモン, カラデシュ (13/264) ",-
"断片化/Fragmentize （だんぺんか） ","(白)","ソーサリー ","点数で見たマナ・コストが４以下の、アーティファクト１つかエンチャント１つを対象とし、それを破壊する。","Destroy target artifact or enchantment with converted mana cost 4 or less.",-,-,,"Jason Felix","コモン, カラデシュ (14/264) ",-
"燻蒸/Fumigate （くんじょう） ","(３)(白)(白)","ソーサリー ","すべてのクリーチャーを破壊する。これにより破壊されたクリーチャー１体につき、あなたは１点のライフを得る。","Destroy all creatures. You gain 1 life for each creature destroyed this way.",-,-,,"Svetlin Velinov","レア, カラデシュ (15/264) ",-
"変速の名手/Gearshift Ace （へんそくのめいしゅ） ","(１)(白)","クリーチャー — ドワーフ(Dwarf)・操縦士(Pilot) ","先制攻撃変速の名手が機体(Vehicle)１つに搭乗するたび、ターン終了時まで、その機体は先制攻撃を得る。","First strikeWhenever Gearshift Ace crews a Vehicle, that Vehicle gains first strike until end of turn.",2/1,-,,"Winona Nelson","アンコモン, カラデシュ (16/264) ",-
"光袖会の職工/Glint-Sleeve Artisan （こうしゅうかいのしょっこう） ","(２)(白)","クリーチャー — ドワーフ(Dwarf)・工匠(Artificer) ","製造１（このクリーチャーが戦場に出たとき、これの上に+1/+1カウンターを１個置くか、無色の1/1の霊気装置(Servo)アーティファクト・クリーチャー・トークンを１体生成する。）","Fabricate 1 （When this creature enters the battlefield, put a +1/+1 counter on it or create a 1/1 colorless Servo artifact creature token.）",2/2,-,,"Ryan Pancoast","コモン, カラデシュ (17/264) ",-
"博覧会の歓迎者/Herald of the Fair （はくらんかいのかんげいしゃ） ","(２)(白)","クリーチャー — 人間(Human) ","博覧会の歓迎者が戦場に出たとき、あなたがコントロールするクリーチャー１体を対象とする。ターン終了時まで、それは+1/+1の修整を受ける。","When Herald of the Fair enters the battlefield, target creature you control gets +1/+1 until end of turn.",3/2,-,,"Steven Belledin","コモン, カラデシュ (18/264) ",-
"絶妙なタイミング/Impeccable Timing （ぜつみょうなたいみんぐ） ","(１)(白)","インスタント ","攻撃クリーチャー１体かブロック・クリーチャー１体を対象とする。絶妙なタイミングはそれに３点のダメージを与える。","Impeccable Timing deals 3 damage to target attacking or blocking creature.",-,-,,"Chris Rallis","コモン, カラデシュ (19/264) ",-
"鼓舞する突撃/Inspired Charge （こぶするとつげき） ","(２)(白)(白)","インスタント ","ターン終了時まで、あなたがコントロールするクリーチャーは+2/+1の修整を受ける。","Creatures you control get +2/+1 until end of turn.",-,-,,"Deruchenko Alexander","コモン, カラデシュ (20/264) ","KLD BFZ M15 M11 "
"小物作りの達人/Master Trinketeer （こものづくりのたつじん） ","(２)(白)","クリーチャー — ドワーフ(Dwarf)・工匠(Artificer) ","あなたがコントロールする霊気装置(Servo)と飛行機械(Thopter)は+1/+1の修整を受ける。(３)(白)：無色の1/1の霊気装置アーティファクト・クリーチャー・トークンを１体生成する。","Servos and Thopters you control get +1/+1.{3}{W}: Create a 1/1 colorless Servo artifact creature token.",3/2,-,,"Matt Stewart","レア, カラデシュ (21/264) ",-
"第九橋の巡回員/Ninth Bridge Patrol （だいくばしのじゅんかいいん） ","(１)(白)","クリーチャー — ドワーフ(Dwarf)・兵士(Soldier) ","あなたがコントロールする他のクリーチャーが１体戦場を離れるたび、第九橋の巡回員の上に+1/+1カウンターを１個置く。","Whenever another creature you control leaves the battlefield, put a +1/+1 counter on Ninth Bridge Patrol.",1/1,-,,"Ryan Alexander Lee","コモン, カラデシュ (22/264) ",-
"圧点/Pressure Point （あってん） ","(１)(白)","インスタント ","クリーチャー１体を対象とし、それをタップする。カードを１枚引く。","Tap target creature.Draw a card.",-,-,,"Jakub Kasper","コモン, カラデシュ (23/264) ","KLD FRF "
"プロペラの先駆者/Propeller Pioneer （ぷろぺらのせんくしゃ） ","(３)(白)","クリーチャー — 人間(Human)・工匠(Artificer) ","飛行製造１（このクリーチャーが戦場に出たとき、これの上に+1/+1カウンターを１個置くか、無色の1/1の霊気装置(Servo)アーティファクト・クリーチャー・トークンを１体生成する。）","FlyingFabricate 1 （When this creature enters the battlefield, put a +1/+1 counter on it or create a 1/1 colorless Servo artifact creature token.）",2/1,-,,"Winona Nelson","コモン, カラデシュ (24/264) ",-
"復元/Refurbish （ふくげん） ","(３)(白)","ソーサリー ","あなたの墓地からアーティファクト・カード１枚を対象とし、それを戦場に戻す。","Return target artifact card from your graveyard to the battlefield.",-,-,,"Johann Bodin","アンコモン, カラデシュ (25/264) ",-
"特権剥奪/Revoke Privileges （とっけんはくだつ） ","(２)(白)","エンチャント — オーラ(Aura) ","エンチャント（クリーチャー）エンチャントされているクリーチャーでは攻撃したりブロックしたりできず、それは機体(Vehicle)に搭乗できない。","Enchant creatureEnchanted creature can't attack, block, or crew Vehicles.",-,-,,"James Ryman","コモン, カラデシュ (26/264) ",-
"霊気装置の展示/Servo Exhibition （れいきそうちのてんじ） ","(１)(白)","ソーサリー ","無色の1/1の霊気装置(Servo)アーティファクト・クリーチャー・トークンを２体生成する。","Create two 1/1 colorless Servo artifact creature tokens.",-,-,,"Sara Winters","アンコモン, カラデシュ (27/264) ",-
"空渦鷹/Skyswirl Harrier （そらうずたか） ","(４)(白)","クリーチャー — 鳥(Bird) ","飛行",Flying,3/4,-,,"John Severin Brassell","コモン, カラデシュ (28/264) ",-
"空鯨捕りの一撃/Skywhaler's Shot （そらくじらとりのいちげき） ","(２)(白)","インスタント ","パワーが３以上のクリーチャー１体を対象とし、それを破壊する。占術１を行う。","Destroy target creature with power 3 or greater. Scry 1.",-,-,,"Chris Rallis","アンコモン, カラデシュ (29/264) ",-
"着飾ったラクダ/Tasseled Dromedary （きかざったらくだ） ","(白)","クリーチャー — ラクダ(Camel) ",,,0/4,-,,"Raoul Vitale","コモン, カラデシュ (30/264) ",-
"亢進するアイベックス/Thriving Ibex （こうしんするあいべっくす） ","(３)(白)","クリーチャー — ヤギ(Goat) ","亢進するアイベックスが戦場に出たとき、あなたは(Ｅ)(Ｅ)（エネルギー・カウンター２個）を得る。亢進するアイベックスが攻撃するたび、あなたは(Ｅ)(Ｅ)を支払ってもよい。そうしたなら、これの上に+1/+1カウンターを１個置く。","When Thriving Ibex enters the battlefield, you get {E}{E} (two energy counters).Whenever Thriving Ibex attacks, you may pay {E}{E}. If you do, put a +1/+1 counter on it.",2/4,-,,"Sidharth Chaturvedi","コモン, カラデシュ (31/264) ",-
"模範的な造り手/Toolcraft Exemplar （もはんてきなつくりて） ","(白)","クリーチャー — ドワーフ(Dwarf)・工匠(Artificer) ","あなたのターンの戦闘の開始時に、あなたがアーティファクトをコントロールしている場合、ターン終了時まで、模範的な造り手は+2/+1の修整を受ける。あなたがアーティファクトを３つ以上コントロールしているなら、ターン終了時まで、これは先制攻撃も得る。","At the beginning of combat on your turn, if you control an artifact, Toolcraft Exemplar gets +2/+1 until end of turn. If you control three or more artifacts, it also gains first strike until end of turn.",1/1,-,,"Zezhou Chen","レア, カラデシュ (32/264) ",-
"信頼できる仲間/Trusty Companion （しんらいできるなかま） ","(１)(白)","クリーチャー — ハイエナ(Hyena) ","警戒信頼できる仲間は単独では攻撃できない。","VigilanceTrusty Companion can't attack alone.",3/2,-,,"Jakub Kasper","アンコモン, カラデシュ (33/264) ",-
"先見的な増強者/Visionary Augmenter （せんけんてきなぞうきょうしゃ） ","(２)(白)(白)","クリーチャー — ドワーフ(Dwarf)・工匠(Artificer) ","製造２（このクリーチャーが戦場に出たとき、これの上に+1/+1カウンターを２個置くか、無色の1/1の霊気装置(Servo)アーティファクト・クリーチャー・トークンを２体生成する。）","Fabricate 2 （When this creature enters the battlefield, put two +1/+1 counters on it or create two 1/1 colorless Servo artifact creature tokens.）",2/1,-,,"James Paick","アンコモン, カラデシュ (34/264) ",-
"たなびき織りの天使/Wispweaver Angel （たなびきおりのてんし） ","(４)(白)(白)","クリーチャー — 天使(Angel) ","飛行たなびき織りの天使が戦場に出たとき、あなたがコントロールする他のクリーチャー１体を対象とする。あなたはそれを追放してもよい。そうしたなら、その後そのカードをオーナーのコントロール下で戦場に戻す。","FlyingWhen Wispweaver Angel enters the battlefield, you may exile another target creature you control, then return that card to the battlefield under its owner's control.",4/4,-,,"James Ryman","アンコモン, カラデシュ (35/264) ",-
"霊気溶融/Aether Meltdown （れいきようゆう） ","(１)(青)","エンチャント — オーラ(Aura) ","瞬速（あなたはこの呪文を、あなたがインスタントを唱えられるときならいつでも唱えてよい。）エンチャント（クリーチャー化機体(Vehicle)）霊気溶融が戦場に出たとき、あなたは(Ｅ)(Ｅ)（エネルギー・カウンター２個）を得る。エンチャントされているパーマネントは-4/-0の修整を受ける。","Flash （You may cast this spell any time you could cast an instant.）Enchant creature or VehicleWhen Aether Meltdown enters the battlefield, you get {E}{E} (two energy counters).Enchanted permanent gets -4/-0.",-,-,,"Jason Felix","アンコモン, カラデシュ (36/264) ",-
"理論霊気学者/Aether Theorist （りろんれいきがくしゃ） ","(１)(青)","クリーチャー — ヴィダルケン(Vedalken)・ならず者(Rogue) ","理論霊気学者が戦場に出たとき、あなたは(Ｅ)(Ｅ)(Ｅ)（エネルギー・カウンター３個）を得る。(Ｔ),(Ｅ)を支払う：占術１を行う。（あなたのライブラリーの一番上のカードを見る。あなたはそのカードをあなたのライブラリーの一番下に置いてもよい。）","When Aether Theorist enters the battlefield, you get {E}{E}{E} (three energy counters).{T}, Pay {E}: Scry 1. （Look at the top card of your library. You may put that card on the bottom of your library.）",1/3,-,,"Lucas Graciano","コモン, カラデシュ (37/264) ",-
"上天の貿易風/AEther Tradewinds （じょうてんのぼうえきふう） ","(２)(青)","インスタント ","あなたがコントロールするパーマネント１つと、あなたがコントロールしていないパーマネント１つを対象とし、それらをオーナーの手札に戻す。","Return target permanent you control and target permanent you don't control to their owners' hands.",-,-,,"Lius Lasahido","コモン, カラデシュ (38/264) ","KLD WWK CNS "
"霊気烈風の古きもの/Aethersquall Ancient （れいきれっぷうのふるきもの） ","(５)(青)(青)","クリーチャー — リバイアサン(Leviathan) ","飛行あなたのアップキープの開始時に、あなたは(Ｅ)(Ｅ)(Ｅ)（エネルギー・カウンター３個）を得る。(Ｅ)(Ｅ)(Ｅ)(Ｅ)(Ｅ)(Ｅ)(Ｅ)(Ｅ)を支払う：他のすべてのクリーチャーをオーナーの手札に戻す。この能力は、あなたがソーサリーを唱えられるときにのみ起動できる。","FlyingAt the beginning of your upkeep, you get {E}{E}{E} (three energy counters).Pay {E}{E}{E}{E}{E}{E}{E}{E}: Return all other creatures to their owners' hands. Activate this ability only any time you could cast a sorcery.",6/6,-,,"Sam Burley","レア, カラデシュ (39/264) ",-
"儀礼的拒否/Ceremonious Rejection （ぎれいてききょひ） ","(青)","インスタント ","無色の呪文１つを対象とし、それを打ち消す。","Counter target colorless spell.",-,-,,"Chris Rahn","アンコモン, カラデシュ (40/264) ",-
"慮外な押収/Confiscation Coup （りょがいなおうしゅう） ","(３)(青)(青)","ソーサリー ","アーティファクト１つかクリーチャー１体を対象とする。あなたは(Ｅ)(Ｅ)(Ｅ)(Ｅ)（エネルギー・カウンター４個）を得る。その後あなたは、そのパーマネントの点数で見たマナ・コストに等しい数の(Ｅ)を支払ってもよい。そうしたなら、それのコントロールを得る。","Choose target artifact or creature. You get {E}{E}{E}{E} (four energy counters), then you may pay an amount of {E} equal to that permanent's converted mana cost. If you do, gain control of it.",-,-,,"Joseph Meehan","レア, カラデシュ (41/264) ",-
"珍品売り/Curio Vendor （ちんぴんうり） ","(１)(青)","クリーチャー — ヴィダルケン(Vedalken) ",,,2/1,-,,"Igor Kieryluk","コモン, カラデシュ (42/264) ",-
"失跡/Disappearing Act （しっせき） ","(１)(青)(青)","インスタント ","失跡を唱えるための追加コストとして、あなたがコントロールするパーマネント１つをオーナーの手札に戻す。呪文１つを対象とし、それを打ち消す。","As an additional cost to cast Disappearing Act, return a permanent you control to its owner's hand.Counter target spell.",-,-,,"Anthony Palumbo","アンコモン, カラデシュ (43/264) ",-
"劇的な逆転/Dramatic Reversal （げきてきなぎゃくてん） ","(１)(青)","インスタント ","あなたがコントロールする土地でないすべてのパーマネントをアンタップする。","Untap all nonland permanents you control.",-,-,,"Eric Deschamps","コモン, カラデシュ (44/264) ",-
"革新の時代/Era of Innovation （かくしんのじだい） ","(１)(青)","エンチャント ","アーティファクトか工匠(Artificer)が１つあなたのコントロール下で戦場に出るたび、あなたは(１)を支払ってもよい。そうしたなら、あなたは(Ｅ)(Ｅ)（エネルギー・カウンター２個）を得る。(Ｅ)(Ｅ)(Ｅ)(Ｅ)(Ｅ)(Ｅ)を支払う,革新の時代を生け贄に捧げる：カードを３枚引く。","Whenever an artifact or Artificer enters the battlefield under your control, you may pay {1}. If you do, you get {E}{E} (two energy counters).Pay {E}{E}{E}{E}{E}{E}, Sacrifice Era of Innovation: Draw three cards.",-,-,,"Jason Rainville","アンコモン, カラデシュ (45/264) ",-
"試験飛行士/Experimental Aviator （しけんひこうし） ","(３)(青)(青)","クリーチャー — 人間(Human)・工匠(Artificer) ","飛行試験飛行士が戦場に出たとき、飛行を持つ無色の1/1の飛行機械(Thopter)アーティファクト・クリーチャー・トークンを２体生成する。","FlyingWhen Experimental Aviator enters the battlefield, create two 1/1 colorless Thopter artifact creature tokens with flying.",0/3,-,,"Jesper Ejsing","アンコモン, カラデシュ (46/264) ",-
"検査不合格/Failed Inspection （けんさふごうかく） ","(２)(青)(青)","インスタント ","呪文１つを対象とし、それを打ち消す。カードを１枚引き、その後カード１枚を捨てる。","Counter target spell. Draw a card, then discard a card.",-,-,,"Matt Stewart","コモン, カラデシュ (47/264) ",-
"歯車襲いの海蛇/Gearseeker Serpent （はぐるまおそいのうみへび） ","(５)(青)(青)","クリーチャー — 海蛇(Serpent) ","歯車襲いの海蛇を唱えるためのコストは、あなたがコントロールするアーティファクト１つにつき(１)少なくなる。(５)(青)：このターン、歯車襲いの海蛇はブロックされない。","Gearseeker Serpent costs {1} less to cast for each artifact you control.{5}{U}: Gearseeker Serpent can't be blocked this turn.",5/6,-,,"Filip Burburan","コモン, カラデシュ (48/264) ",-
"天才の片鱗/Glimmer of Genius （てんさいのへんりん） ","(３)(青)","インスタント ","占術２を行い、その後カードを２枚引く。あなたは(Ｅ)(Ｅ)（エネルギー・カウンター２個）を得る。","Scry 2, then draw two cards. You get {E}{E} (two energy counters).",-,-,,"Tommy Arnold","アンコモン, カラデシュ (49/264) ",-
"光り物集めの鶴/Glint-Nest Crane （ひかりものあつめのつる） ","(１)(青)","クリーチャー — 鳥(Bird) ","飛行光り物集めの鶴が戦場に出たとき、あなたのライブラリーの一番上からカードを４枚見る。あなたはその中からアーティファクト・カード１枚を公開してあなたの手札に加えてもよい。残りをあなたのライブラリーの一番下に望む順番で置く。","FlyingWhen Glint-Nest Crane enters the battlefield, look at the top four cards of your library. You may reveal an artifact card from among them and put it into your hand. Put the rest on the bottom of your library in any order.",1/3,-,,"Christopher Moeller","アンコモン, カラデシュ (50/264) ",-
"タカシオヤドカリ/Hightide Hermit （たかしおやどかり） ","(４)(青)","クリーチャー — カニ(Crab) ","防衛タカシオヤドカリが戦場に出たとき、あなたは(Ｅ)(Ｅ)(Ｅ)(Ｅ)（エネルギー・カウンター４個）を得る。(Ｅ)(Ｅ)を支払う：このターン、タカシオヤドカリは防衛を持たないかのように攻撃できる。","DefenderWhen Hightide Hermit enters the battlefield, you get {E}{E}{E}{E} (four energy counters).Pay {E}{E}: Hightide Hermit can attack this turn as though it didn't have defender.",4/4,-,,"Jason Kang","コモン, カラデシュ (51/264) ",-
"腹黒い意志/Insidious Will （はらぐろいいし） ","(２)(青)(青)","インスタント ","以下から１つを選ぶ。・呪文１つを対象とし、それを打ち消す。・呪文１つを対象とする。あなたはそれの新しい対象を選んでもよい。・インスタント呪文１つかソーサリー呪文１つを対象とし、それをコピーする。あなたはそのコピーの新しい対象を選んでもよい。","Choose one ---• Counter target spell.• You may choose new targets for target spell.• Copy target instant or sorcery spell. You may choose new targets for the copy.",-,-,,"Anthony Palumbo","レア, カラデシュ (52/264) ",-
"ジャンジーの歩哨/Janjeet Sentry （じゃんじーのほしょう） ","(２)(青)","クリーチャー — ヴィダルケン(Vedalken)・兵士(Soldier) ","ジャンジーの歩哨が戦場に出たとき、あなたは(Ｅ)(Ｅ)（エネルギー・カウンター２個）を得る。(Ｔ),(Ｅ)(Ｅ)を支払う：アーティファクト１つかクリーチャー１体を対象とする。あなたはそれをタップまたはアンタップしてもよい。","When Janjeet Sentry enters the battlefield, you get {E}{E} (two energy counters).{T}, Pay {E}{E}: You may tap or untap target artifact or creature.",2/3,-,,"Dan Scott","アンコモン, カラデシュ (53/264) ",-
"ヒレナガ空鯨/Long-Finned Skywhale （ひれながそらくじら） ","(２)(青)(青)","クリーチャー — 鯨(Whale) ","飛行ヒレナガ空鯨は、飛行を持つクリーチャーのみをブロックできる。","FlyingLong-Finned Skywhale can block only creatures with flying.",4/3,-,,"Cliff Childs","アンコモン, カラデシュ (54/264) ",-
"誤動作/Malfunction （ごどうさ） ","(３)(青)","エンチャント — オーラ(Aura) ","エンチャント（アーティファクトかクリーチャー）誤動作が戦場に出たとき、エンチャントされているパーマネントをタップする。エンチャントされているパーマネントは、それのコントローラーのアンタップ・ステップにアンタップしない。","Enchant artifact or creatureWhen Malfunction enters the battlefield, tap enchanted permanent.Enchanted permanent doesn't untap during its controller's untap step.",-,-,,Izzy,"コモン, カラデシュ (55/264) ",-
"機械医学的召喚/Metallurgic Summonings （きかいいがくてきしょうかん） ","(３)(青)(青)","エンチャント ","あなたがインスタント呪文かソーサリー呪文を１つ唱えるたび、無色のX/Xの構築物(Construct)アーティファクト・クリーチャー・トークンを１体生成する。Ｘは、その呪文の点数で見たマナ・コストに等しい。(３)(青)(青),機械医学的召喚を追放する：あなたの墓地からすべてのインスタント・カードとソーサリー・カードをあなたの手札に戻す。この能力は、あなたがアーティファクトを６つ以上コントロールしているときにのみ起動できる。","Whenever you cast an instant or sorcery spell, create an X/X colorless Construct artifact creature token, where X is that spell's converted mana cost.{3}{U}{U}, Exile Metallurgic Summonings: Return all instant and sorcery cards from your graveyard to your hand. Activate this ability only if you control six or more artifacts.",-,-,,"Kieran Yanner","神話レア, カラデシュ (56/264) ",-
"査問長官/Minister of Inquiries （さもんちょうかん） ","(青)","クリーチャー — ヴィダルケン(Vedalken)・アドバイザー(Advisor) ","査問長官が戦場に出たとき、あなたは(Ｅ)(Ｅ)（エネルギー・カウンター２個）を得る。(Ｔ),(Ｅ)を支払う：プレイヤー１人を対象とする。そのプレイヤーは、自分のライブラリーの一番上からカードを３枚自分の墓地に置く。","When Minister of Inquiries enters the battlefield, you get {E}{E} (two energy counters).{T}, Pay {E}: Target player puts the top three cards of his or her library into his or her graveyard.",1/2,-,,"Dan Scott","アンコモン, カラデシュ (57/264) ",-
"敏捷な革新者/Nimble Innovator （びんしょうなかくしんしゃ） ","(３)(青)","クリーチャー — ヴィダルケン(Vedalken)・工匠(Artificer) ","敏捷な革新者が戦場に出たとき、カードを１枚引く。","When Nimble Innovator enters the battlefield, draw a card.",2/2,-,,"Slawomir Maniak","コモン, カラデシュ (58/264) ",-
"発明の領事、パディーム/Padeem, Consul of Innovation （はつめいのりょうじぱでぃーむ） ","(３)(青)","伝説のクリーチャー — ヴィダルケン(Vedalken)・工匠(Artificer) ","あなたがコントロールするアーティファクトは呪禁を持つ。あなたのアップキープの開始時に、点数で見たマナ・コストが最も大きいか同じであるアーティファクトをあなたがコントロールしている場合、カードを１枚引く。","Artifacts you control have hexproof.At the beginning of your upkeep, if you control the artifact with the highest converted mana cost or tied for the highest converted mana cost, draw a card.",1/4,-,,"Matt Stewart","レア, カラデシュ (59/264) ",-
"逆説的な結果/Paradoxical Outcome （ぎゃくせつてきなけっか） ","(３)(青)","インスタント ","望む数のあなたがコントロールする土地でもトークンでもないパーマネントを対象とし、それらをオーナーの手札に戻す。これによりあなたの手札に戻されたカード１枚につき、カードを１枚引く。","Return any number of target nonland, nontoken permanents you control to their owners' hands. Draw a card for each card returned to your hand this way.",-,-,,"Nils Hamm","レア, カラデシュ (60/264) ",-
"革命的拒絶/Revolutionary Rebuff （かくめいてききょぜつ） ","(１)(青)","インスタント ","アーティファクトでない呪文１つを対象とし、それのコントローラーが(２)を支払わないかぎり、それを打ち消す。","Counter target nonartifact spell unless its controller pays {2}.",-,-,,"Zack Stella","コモン, カラデシュ (61/264) ",-
