"カード名","マナコスト","タイプ","テキスト","オラクル","Ｐ／Ｔ","忠誠度","フレーバ","イラスト","セット等","再録"
"宿命的報復/Fated Retribution （しゅくめいてきほうふく） ","(４)(白)(白)(白)","インスタント ","すべてのクリーチャーとすべてのプレインズウォーカーを破壊する。あなたのターンであるなら、占術２を行う。（あなたのライブラリーの一番上から２枚のカードを見て、そのうちの望む枚数のカードを望む順番であなたのライブラリーの一番下に置き、残りを望む順番で一番上に置く。）","Destroy all creatures and planeswalkers. If it's your turn, scry 2. （Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.）",-,-,,"Jonas De Ro","レア, 神々の軍勢 (11/165) ",-
"霊刃の幻霊/Ghostblade Eidolon （れいじんのげんれい） ","(２)(白)","クリーチャー・エンチャント — スピリット(Spirit) ","授与(５)(白)（このカードを授与コストで唱えた場合、これはエンチャント（クリーチャー）を持つオーラ(Aura)呪文である。クリーチャーにつけられていない場合、これは再びクリーチャーになる。）二段攻撃（このクリーチャーは先制攻撃と通常の戦闘ダメージの両方を与える。）エンチャントされているクリーチャーは+1/+1の修整を受けるとともに二段攻撃を持つ。","Bestow {5}{W} （If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.）Double strike （This creature deals both first-strike and regular combat damage.）Enchanted creature gets +1/+1 and has double strike.",1/1,-,,"Ryan Yee","アンコモン, 神々の軍勢 (12/165) ",-
"太陽神の一瞥/Glimpse the Sun God （たいようしんのいちべつ） ","(Ｘ)(白)","インスタント ","クリーチャーＸ体を対象とし、それらをタップする。占術１を行う。（あなたのライブラリーの一番上のカードを見る。あなたはそのカードをあなたのライブラリーの一番下に置いてもよい。）","Tap X target creatures. Scry 1. （Look at the top card of your library. You may put that card on the bottom of your library.）",-,-,,"Aleksi Briclot","アンコモン, 神々の軍勢 (13/165) ",-
"神に寵愛された将軍/God-Favored General （かみにちょうあいされたしょうぐん） ","(１)(白)","クリーチャー — 人間(Human)・兵士(Soldier) ","神啓 ― 神に寵愛された将軍がアンタップ状態になるたび、あなたは(２)(白)を支払ってもよい。そうしたなら、白の1/1の兵士(Soldier)クリーチャー・エンチャント・トークンを２体戦場に出す。","Inspired --- Whenever God-Favored General becomes untapped, you may pay {2}{W}. If you do, put two 1/1 white Soldier enchantment creature tokens onto the battlefield.",1/1,-,,"David Palumbo","アンコモン, 神々の軍勢 (14/165) ",-
"大アカシカ/Great Hart （だいあかしか） ","(３)(白)","クリーチャー — 大鹿(Elk) ",,,2/4,-,,"Christopher Moeller","コモン, 神々の軍勢 (15/165) ",-
"グリフィンの夢掴み/Griffin Dreamfinder （ぐりふぃんのゆめつかみ） ","(３)(白)(白)","クリーチャー — グリフィン(Griffin) ","飛行グリフィンの夢掴みが戦場に出たとき、あなたの墓地にあるエンチャント・カード１枚を対象とし、それをあなたの手札に戻す。","FlyingWhen Griffin Dreamfinder enters the battlefield, return target enchantment card from your graveyard to your hand.",1/4,-,,"Adam Paquette","コモン, 神々の軍勢 (16/165) ",-
"イロアスの英雄/Hero of Iroas （いろあすのえいゆう） ","(１)(白)","クリーチャー — 人間(Human)・兵士(Soldier) ","あなたが唱えるオーラ(Aura)呪文は、それを唱えるためのコストが(１)少なくなる。英雄的 ― あなたがイロアスの英雄を対象とする呪文を１つ唱えるたび、イロアスの英雄の上に+1/+1カウンターを１個置く。","Aura spells you cast cost {1} less to cast.Heroic --- Whenever you cast a spell that targets Hero of Iroas, put a +1/+1 counter on Hero of Iroas.",2/2,-,,"Willian Murai","レア, 神々の軍勢 (17/165) ",-
"くぎ付け/Hold at Bay （くぎづけ） ","(１)(白)","インスタント ","クリーチャー１体かプレイヤー１人を対象とする。このターン、次にそれに与えられるダメージを７点軽減する。","Prevent the next 7 damage that would be dealt to target creature or player this turn.",-,-,,"Nils Hamm","コモン, 神々の軍勢 (18/165) ",-
"忠実なペガサス/Loyal Pegasus （ちゅうじつなぺがさす） ","(白)","クリーチャー — ペガサス(Pegasus) ","飛行忠実なペガサスは単独では攻撃したりブロックしたりできない。","FlyingLoyal Pegasus can't attack or block alone.",2/1,-,,"John Severin Brassell","コモン, 神々の軍勢 (19/165) ",-
"定命の者の熱意/Mortal's Ardor （じょうみょうのもののねつい） ","(白)","インスタント ","クリーチャー１体を対象とする。それはターン終了時まで+1/+1の修整を受けるとともに絆魂を得る。（そのクリーチャーがダメージを与える場合、さらにそれのコントローラーは同じ点数のライフを得る。）","Target creature gets +1/+1 and gains lifelink until end of turn. （Damage dealt by the creature also causes its controller to gain that much life.）",-,-,,"Kev Walker","コモン, 神々の軍勢 (20/165) ",-
"ニクス生まれの盾の仲間/Nyxborn Shieldmate （にくすうまれのたてのなかま） ","(白)","クリーチャー・エンチャント — 人間(Human)・兵士(Soldier) ","授与(２)(白)（このカードを授与コストで唱えた場合、これはエンチャント（クリーチャー）を持つオーラ(Aura)呪文である。クリーチャーにつけられていない場合、これは再びクリーチャーになる。）エンチャントされているクリーチャーは+1/+2の修整を受ける。","Bestow {2}{W} （If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.）Enchanted creature gets +1/+2.",1/2,-,,"Eric Deschamps","コモン, 神々の軍勢 (21/165) ",-
"オレスコスの太陽導き/Oreskos Sun Guide （おれすこすのたいようみちびき） ","(１)(白)","クリーチャー — 猫(Cat)・モンク(Monk) ","神啓 ― オレスコスの太陽導きがアンタップ状態になるたび、あなたは２点のライフを得る。","Inspired --- Whenever Oreskos Sun Guide becomes untapped, you gain 2 life.",2/2,-,,"Mathias Kollros","コモン, 神々の軍勢 (22/165) ",-
"羽撃王/Ornitharch （うげきおう） ","(３)(白)(白)","クリーチャー — 執政官(Archon) ","飛行貢納２（このクリーチャーが戦場に出るに際し、あなたの望む対戦相手１人はこれの上に+1/+1カウンターを２個置いてもよい。）羽撃王が戦場に出たとき、貢納が支払われていない場合、飛行を持つ白の1/1の鳥(Bird)クリーチャー・トークンを２体戦場に出す。","FlyingTribute 2 （As this creature enters the battlefield, an opponent of your choice may place two +1/+1 counters on it.）When Ornitharch enters the battlefield, if tribute wasn't paid, put two 1/1 white Bird creature tokens with flying onto the battlefield.",3/3,-,,"Clint Cearley","アンコモン, 神々の軍勢 (23/165) ",-
"導きの嘆願/Plea for Guidance （みちびきのたんがん） ","(５)(白)","ソーサリー ","あなたのライブラリーからエンチャント・カードを最大２枚まで探し、それらを公開してあなたの手札に加える。その後、あなたのライブラリーを切り直す。","Search your library for up to two enchantment cards, reveal them, and put them into your hand. Then shuffle your library.",-,-,,"Terese Nielsen","レア, 神々の軍勢 (24/165) ",-
"存在の破棄/Revoke Existence （そんざいのはき） ","(１)(白)","ソーサリー ","アーティファクト１つかエンチャント１つを対象とし、それを追放する。","Exile target artifact or enchantment.",-,-,,"Adam Paquette","コモン, 神々の軍勢 (25/165) ","BNG SOM DDI "
"沈黙の歩哨/Silent Sentinel （ちんもくのほしょう） ","(５)(白)(白)","クリーチャー — 執政官(Archon) ","飛行沈黙の歩哨が攻撃するたび、あなたの墓地にあるエンチャント・カード１枚を対象とする。あなたはそれを戦場に戻してもよい。","FlyingWhenever Silent Sentinel attacks, you may return target enchantment card from your graveyard to the battlefield.",4/6,-,,"Slawomir Maniak","レア, 神々の軍勢 (26/165) ",-
"迷宮の霊魂/Spirit of the Labyrinth （めいきゅうのれいこん） ","(１)(白)","クリーチャー・エンチャント — スピリット(Spirit) ","各プレイヤーは、各ターンにカードを２枚以上引くことができない。","Each player can't draw more than one card each turn.",3/1,-,,"Jason Chan","レア, 神々の軍勢 (27/165) ",-
"陽絆/Sunbond （ようはん） ","(３)(白)","エンチャント — オーラ(Aura) ","エンチャント（クリーチャー）エンチャントされているクリーチャーは「あなたがライフを得るたび、その点数に等しい数の+1/+1カウンターをこのクリーチャーの上に置く。」を持つ。","Enchant creatureEnchanted creature has ""Whenever you gain life, put that many +1/+1 counters on this creature.""",-,-,,"Noah Bradley","アンコモン, 神々の軍勢 (28/165) ",-
"ブリマーズの先兵/Vanguard of Brimaz （ぶりまーずのせんぺい） ","(白)(白)","クリーチャー — 猫(Cat)・兵士(Soldier) ","警戒英雄的 ― あなたがブリマーズの先兵を対象とする呪文を１つ唱えるたび、警戒を持つ白の1/1の猫(Cat)・兵士(Soldier)クリーチャー・トークンを１体戦場に出す。","VigilanceHeroic --- Whenever you cast a spell that targets Vanguard of Brimaz, put a 1/1 white Cat Soldier creature token with vigilance onto the battlefield.",2/2,-,,"Mark Zug","アンコモン, 神々の軍勢 (29/165) ",-
"高巣の崇拝者/Aerie Worshippers （こうそうのすうはいしゃ） ","(３)(青)","クリーチャー — 人間(Human)・クレリック(Cleric) ","神啓 ― 高巣の崇拝者がアンタップ状態になるたび、あなたは(２)(青)を支払ってもよい。そうしたなら、飛行を持つ青の2/2の鳥(Bird)クリーチャー・エンチャント・トークンを１体戦場に出す。","Inspired --- Whenever Aerie Worshippers becomes untapped, you may pay {2}{U}. If you do, put a 2/2 blue Bird enchantment creature token with flying onto the battlefield.",2/4,-,,"Mike Sass","アンコモン, 神々の軍勢 (30/165) ",-
"理想の調停者/Arbiter of the Ideal （りそうのちょうていしゃ） ","(４)(青)(青)","クリーチャー — スフィンクス(Sphinx) ","飛行神啓 ― 理想の調停者がアンタップ状態になるたび、あなたのライブラリーの一番上のカードを公開する。それがアーティファクト・カードかクリーチャー・カードか土地カードであるなら、あなたはそれを顕現(manifestation)カウンターが１個置かれた状態で戦場に出してもよい。それは他のタイプに加えてエンチャントでもある。","FlyingInspired --- Whenever Arbiter of the Ideal becomes untapped, reveal the top card of your library. If it's an artifact, creature, or land card, you may put it onto the battlefield with a manifestation counter on it. That permanent is an enchantment in addition to its other types.",4/5,-,,"Svetlin Velinov","レア, 神々の軍勢 (31/165) ",-
"空想の元型/Archetype of Imagination （くうそうのげんけい） ","(４)(青)(青)","クリーチャー・エンチャント — 人間(Human)・ウィザード(Wizard) ","あなたがコントロールするクリーチャーは飛行を持つ。あなたの対戦相手がコントロールするクリーチャーは飛行を失うとともに、飛行を持つことも得ることもできない。","Creatures you control have flying.Creatures your opponents control lose flying and can't have or gain flying.",3/2,-,,"Robbie Trevino","アンコモン, 神々の軍勢 (32/165) ",-
"潮流の合唱者/Chorus of the Tides （ちょうりゅうのがっしょうしゃ） ","(３)(青)","クリーチャー — セイレーン(Siren) ","飛行英雄的 ― あなたが潮流の合唱者を対象とする呪文を１つ唱えるたび、占術１を行う。（あなたのライブラリーの一番上のカードを見る。あなたはそのカードをあなたのライブラリーの一番下に置いてもよい。）","FlyingHeroic --- Whenever you cast a spell that targets Chorus of the Tides, scry 1. （To scry 1, look at the top card of your library, then you may put that card on the bottom of your library.）",3/2,-,,"Steve Prescott","コモン, 神々の軍勢 (33/165) ",-
"保護色/Crypsis （ほごしょく） ","(１)(青)","インスタント ","あなたがコントロールするクリーチャー１体を対象とする。それはターン終了時までプロテクション（あなたの対戦相手がコントロールするクリーチャー）を得る。それをアンタップする。","Target creature you control gains protection from creatures your opponents control until end of turn. Untap it.",-,-,,Daarken,"コモン, 神々の軍勢 (34/165) ",-
"深海の催眠術師/Deepwater Hypnotist （しんかいのさいみんじゅつし） ","(１)(青)","クリーチャー — マーフォーク(Merfolk)・ウィザード(Wizard) ","神啓 ― 深海の催眠術師がアンタップ状態になるたび、対戦相手がコントロールするクリーチャー１体を対象とする。それはターン終了時まで-3/-0の修整を受ける。","Inspired --- Whenever Deepwater Hypnotist becomes untapped, target creature an opponent controls gets -3/-0 until end of turn.",2/1,-,,"Christopher Moeller","コモン, 神々の軍勢 (35/165) ",-
"予言/Divination （よげん） ","(２)(青)","ソーサリー ","カードを２枚引く。","Draw two cards.",-,-,,"Willian Murai","コモン, 神々の軍勢 (36/165) ","M15 BNG M14 M13 DKA M12 M10 "
"永遠の罠/Eternity Snare （えいえんのわな） ","(５)(青)","エンチャント — オーラ(Aura) ","エンチャント（クリーチャー）永遠の罠が戦場に出たとき、カードを１枚引く。エンチャントされているクリーチャーは、それのコントローラーのアンタップ・ステップにアンタップしない。","Enchant creatureWhen Eternity Snare enters the battlefield, draw a card.Enchanted creature doesn't untap during its controller's untap step.",-,-,,"Min Yum","アンコモン, 神々の軍勢 (37/165) ","BNG TSP "
"一過性の知力/Evanescent Intellect （いっかせいのちりょく） ","(青)","エンチャント — オーラ(Aura) ","エンチャント（クリーチャー）エンチャントされているクリーチャーは「(１)(青),(Ｔ)：プレイヤー１人を対象とする。そのプレイヤーは、自分のライブラリーの一番上から３枚のカードを自分の墓地に置く。」を持つ。","Enchant creatureEnchanted creature has ""{1}{U}, {T}: Target player puts the top three cards of his or her library into his or her graveyard.""",-,-,,"Dan Scott","コモン, 神々の軍勢 (38/165) ",-
"宿命的心酔/Fated Infatuation （しゅくめいてきしんすい） ","(青)(青)(青)","インスタント ","あなたがコントロールするクリーチャー１体を対象とし、それのコピーであるトークンを１体戦場に出す。あなたのターンであるなら、占術２を行う。（あなたのライブラリーの一番上から２枚のカードを見て、そのうちの望む枚数のカードを望む順番であなたのライブラリーの一番下に置き、残りを望む順番で一番上に置く。）","Put a token onto the battlefield that's a copy of target creature you control. If it's your turn, scry 2. （Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.）",-,-,,"Winona Nelson","レア, 神々の軍勢 (39/165) ",-
"閃足の幻霊/Flitterstep Eidolon （せんそくのげんれい） ","(１)(青)","クリーチャー・エンチャント — スピリット(Spirit) ","授与(５)(青)（このカードを授与コストで唱えた場合、これはエンチャント（クリーチャー）を持つオーラ(Aura)呪文である。クリーチャーにつけられていない場合、これは再びクリーチャーになる。）閃足の幻霊はブロックされない。エンチャントされているクリーチャーは+1/+1の修整を受けるとともに、ブロックされない。","Bestow {5}{U} （If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.）Flitterstep Eidolon can't be blocked.Enchanted creature gets +1/+1 and can't be blocked.",1/1,-,,"Chase Stone","アンコモン, 神々の軍勢 (40/165) ",-
"氾濫潮の海蛇/Floodtide Serpent （はんらんじおのうみへび） ","(４)(青)","クリーチャー — 海蛇(Serpent) ","あなたが、あなたがコントロールするエンチャントを１つオーナーの手札に戻さないかぎり、氾濫潮の海蛇では攻撃できない。（このコストは攻撃クリーチャーを指定するに際して支払う。）","Floodtide Serpent can't attack unless you return an enchantment you control to its owner's hand. （This cost is paid as attackers are declared.）",4/4,-,,"Steven Belledin","コモン, 神々の軍勢 (41/165) ",-
"海峡のクラーケン/Kraken of the Straits （かいきょうのくらーけん） ","(５)(青)(青)","クリーチャー — クラーケン(Kraken) ","あなたがコントロールする島(Island)の数よりも小さいパワーを持つクリーチャーでは、海峡のクラーケンをブロックできない。","Creatures with power less than the number of Islands you control can't block Kraken of the Straits.",6/6,-,,"Richard Wright","アンコモン, 神々の軍勢 (42/165) ",-
"メレティスの天文学者/Meletis Astronomer （めれてぃすのてんもんがくしゃ） ","(１)(青)","クリーチャー — 人間(Human)・ウィザード(Wizard) ","英雄的 ― あなたがメレティスの天文学者を対象とする呪文を１つ唱えるたび、あなたのライブラリーの一番上から３枚のカードを見る。あなたはその中からエンチャント・カード１枚を公開してあなたの手札に加えてもよい。残りをあなたのライブラリーの一番下に望む順番で置く。","Heroic --- Whenever you cast a spell that targets Meletis Astronomer, look at the top three cards of your library. You may reveal an enchantment card from among them and put it into your hand. Put the rest on the bottom of your library in any order.",1/3,-,,"Dan Scott","アンコモン, 神々の軍勢 (43/165) ",-
"精神奪い/Mindreaver （せいしんうばい） ","(青)(青)","クリーチャー — 人間(Human)・ウィザード(Wizard) ","英雄的 ― あなたが精神奪いを対象とする呪文を１つ唱えるたび、プレイヤー１人を対象とし、そのプレイヤーのライブラリーの一番上から３枚のカードを追放する。(青)(青),精神奪いを生け贄に捧げる：精神奪いによって追放されているカードと同じ名前を持つ呪文１つを対象とし、それを打ち消す。","Heroic --- Whenever you cast a spell that targets Mindreaver, exile the top three cards of target player's library.{U}{U}, Sacrifice Mindreaver: Counter target spell with the same name as a card exiled with Mindreaver.",2/1,-,,"Wesley Burt","レア, 神々の軍勢 (44/165) ",-
"無効化/Nullify （むこうか） ","(青)(青)","インスタント ","クリーチャー呪文１つかオーラ(Aura)呪文１つを対象とし、それを打ち消す。","Counter target creature or Aura spell.",-,-,,"Adam Paquette","コモン, 神々の軍勢 (45/165) ",-
"ニクス生まれのトリトン/Nyxborn Triton （にくすうまれのとりとん） ","(２)(青)","クリーチャー・エンチャント — マーフォーク(Merfolk) ","授与(４)(青)（このカードを授与コストで唱えた場合、これはエンチャント（クリーチャー）を持つオーラ(Aura)呪文である。クリーチャーにつけられていない場合、これは再びクリーチャーになる。）エンチャントされているクリーチャーは+2/+3の修整を受ける。","Bestow {4}{U} （If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.）Enchanted creature gets +2/+3.",2/3,-,,"Clint Cearley","コモン, 神々の軍勢 (46/165) ",-
"神託者の眼識/Oracle's Insight （しんたくしゃのがんしき） ","(３)(青)","エンチャント — オーラ(Aura) ","エンチャント（クリーチャー）エンチャントされているクリーチャーは「(Ｔ)：占術１を行う。その後、カードを１枚引く。」を持つ。（占術１を行うには、あなたのライブラリーの一番上のカードを見る。あなたはそのカードをあなたのライブラリーの一番下に置いてもよい。）","Enchant creatureEnchanted creature has ""{T}: Scry 1, then draw a card."" （To scry 1, look at the top card of your library, then you may put that card on the bottom of your library.）",-,-,,"Raymond Swanland","アンコモン, 神々の軍勢 (47/165) ",-
"厄介なキマイラ/Perplexing Chimera （やっかいなきまいら） ","(４)(青)","クリーチャー・エンチャント — キマイラ(Chimera) ","対戦相手１人が呪文を１つ唱えるたび、あなたは厄介なキマイラとその呪文とのコントロールを交換してもよい。そうしたなら、あなたはその呪文の新しい対象を選んでもよい。（その呪文がパーマネントとなったなら、あなたがそのパーマネントをコントロールする。）","Whenever an opponent casts a spell, you may exchange control of Perplexing Chimera and that spell. If you do, you may choose new targets for the spell. （If the spell becomes a permanent, you control that permanent.）",3/3,-,,"Tyler Jacobson","レア, 神々の軍勢 (48/165) ",-
"撤回のらせん/Retraction Helix （てっかいのらせん） ","(青)","インスタント ","クリーチャー１体を対象とする。それはターン終了時まで「(Ｔ)：土地でないパーマネント１つを対象とし、それをオーナーの手札に戻す。」を得る。","Until end of turn, target creature gains ""{T}: Return target nonland permanent to its owner's hand.""",-,-,,"Phill Simmer","コモン, 神々の軍勢 (49/165) ",-
"牙海岸のセイレーン/Siren of the Fanged Coast （きばかいがんのせいれーん） ","(３)(青)(青)","クリーチャー — セイレーン(Siren) ","飛行貢納３（このクリーチャーが戦場に出るに際し、あなたの望む対戦相手１人はこれの上に+1/+1カウンターを３個置いてもよい。）牙海岸のセイレーンが戦場に出たとき、貢納が支払われていない場合、クリーチャー１体を対象とし、それのコントロールを得る。","FlyingTribute 3 （As this creature enters the battlefield, an opponent of your choice may place three +1/+1 counters on it.）When Siren of the Fanged Coast enters the battlefield, if tribute wasn't paid, gain control of target creature.",1/1,-,,"Michael C. Hayes","アンコモン, 神々の軍勢 (50/165) ",-
"スフィンクスの信奉者/Sphinx's Disciple （すふぃんくすのしんぽうしゃ） ","(３)(青)(青)","クリーチャー — 人間(Human)・ウィザード(Wizard) ","飛行神啓 ― スフィンクスの信奉者がアンタップ状態になるたび、カードを１枚引く。","FlyingInspired --- Whenever Sphinx's Disciple becomes untapped, draw a card.",2/2,-,,"Ryan Alexander Lee","コモン, 神々の軍勢 (51/165) ",-
"層雲歩み/Stratus Walk （そううんあゆみ） ","(１)(青)","エンチャント — オーラ(Aura) ","エンチャント（クリーチャー）層雲歩みが戦場に出たとき、カードを１枚引く。エンチャントされているクリーチャーは飛行を持つ。エンチャントされているクリーチャーは飛行を持つクリーチャーのみをブロックできる。","Enchant creatureWhen Stratus Walk enters the battlefield, draw a card.Enchanted creature has flying. （It can't be blocked except by creatures with flying or reach.）Enchanted creature can block only creatures with flying.",-,-,,"Aaron Miller","コモン, 神々の軍勢 (52/165) ","ORI BNG "
"突然の嵐/Sudden Storm （とつぜんのあらし） ","(３)(青)","インスタント ","クリーチャーを最大２体まで対象とし、それらをタップする。それらのクリーチャーは、それらのコントローラーの次のアンタップ・ステップにアンタップしない。占術１を行う。（あなたのライブラリーの一番上のカードを見る。あなたはそのカードをあなたのライブラリーの一番下に置いてもよい。）","Tap up to two target creatures. Those creatures don't untap during their controllers' next untap steps. Scry 1. （Look at the top card of your library. You may put that card on the bottom of your library.）",-,-,,"Adam Paquette","コモン, 神々の軍勢 (53/165) ",-
"タッサの拒絶/Thassa's Rebuff （たっさのきょぜつ） ","(１)(青)","インスタント ","呪文１つを対象とする。それのコントローラーが(Ｘ)を支払わらないかぎり、それを打ち消す。Ｘはあなたの青への信心である。（あなたの青への信心は、あなたがコントロールするパーマネントのマナ・コストに含まれる(青)の数に等しい。）","Counter target spell unless its controller pays {X}, where X is your devotion to blue. （Each {U} in the mana costs of permanents you control counts toward your devotion to blue.）",-,-,,"Lucas Graciano","アンコモン, 神々の軍勢 (54/165) ",-
"トロモクラティス/Tromokratis （とろもくらてぃす） ","(５)(青)(青)","伝説のクリーチャー — クラーケン(Kraken) ","攻撃やブロックをしていないかぎり、トロモクラティスは呪禁を持つ。防御プレイヤーがコントロールしているすべてのクリーチャーがこれをブロックしないかぎり、トロモクラティスはブロックされない。（そのプレイヤーがコントロールしているいずれかのクリーチャーがこのクリーチャーをブロックしないなら、これはブロックされない。）","Tromokratis has hexproof unless it's attacking or blocking.Tromokratis can't be blocked unless all creatures defending player controls block it. （If any creature that player controls doesn't block this creature, it can't be blocked.）",8/8,-,,"Matt Stewart","レア, 神々の軍勢 (55/165) ",-
"渦潮の精霊/Vortex Elemental （うずしおのせいれい） ","(青)","クリーチャー — エレメンタル(Elemental) ","(青)：渦潮の精霊と、これをブロックしているかこれにブロックされている各クリーチャーをオーナーのライブラリーの一番上に置く。その後、それらのプレイヤーは自分のライブラリーを切り直す。(３)(青)(青)：クリーチャー１体を対象とする。このターン、それは可能なら渦潮の精霊をブロックする。","{U}: Put Vortex Elemental and each creature blocking or blocked by it on top of their owners' libraries, then those players shuffle their libraries.{3}{U}{U}: Target creature blocks Vortex Elemental this turn if able.",0/1,-,,"Jack Wang","アンコモン, 神々の軍勢 (56/165) ",-
