"カード名","マナコスト","タイプ","テキスト","オラクル","Ｐ／Ｔ","忠誠度","フレーバ","イラスト","セット等","再録"
"形状の管理人/Warden of Geometries （けいじょうのかんりにん） ","(４)","クリーチャー — エルドラージ(Eldrazi)・ドローン(Drone) ","警戒あなたのマナ・プールに(◇)を加える。（(◇)は無色マナを表す。）","Vigilance{T}: Add {C} to your mana pool. （{C} represents colorless mana.）",2/3,-,,"Jason Felix","コモン, ゲートウォッチの誓い (11/184) ",-
"歪める嘆き/Warping Wail （ゆがめるなげき） ","(１)(◇)","インスタント ","（(◇)は無色マナを表す。）以下から１つを選ぶ。・パワーかタフネスが１以下のクリーチャー１体を対象とし、それを追放する。・ソーサリー呪文１つを対象とし、それを打ち消す。・無色の1/1のエルドラージ(Eldrazi)・末裔(Scion)クリーチャー・トークンを１体戦場に出す。それは「このクリーチャーを生け贄に捧げる：あなたのマナ・プールに(◇)を加える。」を持つ。","（{C} represents colorless mana.）Choose one ---• Exile target creature with power or toughness 1 or less.• Counter target sorcery spell.• Put a 1/1 colorless Eldrazi Scion creature token onto the battlefield. It has ""Sacrifice this creature: Add {C} to your mana pool.""",-,-,,"Jason Felix","アンコモン, ゲートウォッチの誓い (12/184) ",-
"変位エルドラージ/Eldrazi Displacer （へんいえるどらーじ） ","(２)(白)","クリーチャー — エルドラージ(Eldrazi) ","欠色（このカードは無色である。）(２)(◇)：他のクリーチャー１体を対象とし、それを追放し、その後それをオーナーのコントロール下でタップ状態で戦場に戻す。（(◇)は無色マナを表す。）","Devoid （This card has no color.）{2}{C}: Exile another target creature, then return it to the battlefield tapped under its owner's control. （{C} represents colorless mana.）",3/3,-,,Daarken,"レア, ゲートウォッチの誓い (13/184) ",-
"アーファの守護者/Affa Protector （あーふぁのしゅごしゃ） ","(２)(白)","クリーチャー — 人間(Human)・兵士(Soldier)・同盟者(Ally) ","警戒",Vigilance,1/4,-,,Izzy,"コモン, ゲートウォッチの誓い (14/184) ",-
"同盟者の援軍/Allied Reinforcements （どうめいしゃのえんぐん） ","(３)(白)","ソーサリー ","白の2/2の騎士(Knight)・同盟者(Ally)クリーチャー・トークンを２体戦場に出す。","Put two 2/2 white Knight Ally creature tokens onto the battlefield.",-,-,,"Matt Stewart","アンコモン, ゲートウォッチの誓い (15/184) ",-
"ゲートウォッチ招致/Call the Gatewatch （げーとうぉっちしょうち） ","(２)(白)","ソーサリー ","あなたのライブラリーからプレインズウォーカー・カードを１枚探し、それを公開してあなたの手札に加える。その後あなたのライブラリーを切り直す。","Search your library for a planeswalker card, reveal it, and put it into your hand. Then shuffle your library.",-,-,,"Yefim Kligerman","レア, ゲートウォッチの誓い (16/184) ",-
"まばゆい反射/Dazzling Reflection （まばゆいはんしゃ） ","(１)(白)","インスタント ","クリーチャー１体を対象とする。あなたはそれのパワーに等しい点数のライフを得る。このターン、そのクリーチャーが次に与えるダメージを軽減する。","You gain life equal to target creature's power. The next time that creature would deal damage this turn, prevent that damage.",-,-,,"David Palumbo","コモン, ゲートウォッチの誓い (17/184) ",-
"探検の猛禽/Expedition Raptor （たんけんのもうきん） ","(３)(白)(白)","クリーチャー — 鳥(Bird) ","飛行探検の猛禽が戦場に出たとき、支援２を行う。（他のクリーチャーを最大２体対象とし、それらの上に+1/+1カウンターをそれぞれ１個置く。）","FlyingWhen Expedition Raptor enters the battlefield, support 2. （Put a +1/+1 counter on each of up to two other target creatures.）",2/2,-,,"Johann Bodin","コモン, ゲートウォッチの誓い (18/184) ",-
"タズリ将軍/General Tazri （たずりしょうぐん） ","(４)(白)","伝説のクリーチャー — 人間(Human)・同盟者(Ally) ","タズリ将軍が戦場に出たとき、あなたはあなたのライブラリーから同盟者(Ally)クリーチャー・カードを１枚探してもよい。そうしたなら、それを公開してあなたの手札に加え、その後あなたのライブラリーを切り直す。(白)(青)(黒)(赤)(緑)：ターン終了時まで、あなたがコントロールする同盟者クリーチャーは+X/+Xの修整を受ける。Ｘは、それらのクリーチャーの中の色の数に等しい。","When General Tazri enters the battlefield, you may search your library for an Ally creature card, reveal it, put it into your hand, then shuffle your library.{W}{U}{B}{R}{G}: Ally creatures you control get +X/+X until end of turn, where X is the number of colors among those creatures.",3/4,-,,"Chris Rahn","神話レア, ゲートウォッチの誓い (19/184) ",-
"鑽火の輝き/Immolating Glare （きりびのかがやき） ","(１)(白)","インスタント ","攻撃クリーチャー１体を対象とし、それを破壊する。","Destroy target attacking creature.",-,-,,Daarken,"アンコモン, ゲートウォッチの誓い (20/184) ",-
"イオナの祝福/Iona's Blessing （いおなのしゅくふく） ","(３)(白)","エンチャント — オーラ(Aura) ","エンチャント（クリーチャー）エンチャントされているクリーチャーは+2/+2の修整を受け、警戒を持つとともに、追加で１体のクリーチャーをブロックできる。","Enchant creatureEnchanted creature gets +2/+2, has vigilance, and can block an additional creature.",-,-,,"David Gaillet","アンコモン, ゲートウォッチの誓い (21/184) ",-
"孤立領域/Isolation Zone （こりつりょういき） ","(２)(白)(白)","エンチャント ","孤立領域が戦場に出たとき、対戦相手がコントロールするクリーチャー１体かエンチャント１つを対象とし、孤立領域が戦場を離れるまでそれを追放する。（そのパーマネントはオーナーのコントロール下で戦場に戻る。）","When Isolation Zone enters the battlefield, exile target creature or enchantment an opponent controls until Isolation Zone leaves the battlefield. （That permanent returns under its owner's control.）",-,-,,"Chris Rallis","コモン, ゲートウォッチの誓い (22/184) ",-
"コーの鎌使い/Kor Scythemaster （こーのかまつかい） ","(２)(白)","クリーチャー — コー(Kor)・兵士(Soldier)・同盟者(Ally) ","コーの鎌使いが攻撃しているかぎり、これは先制攻撃を持つ。","Kor Scythemaster has first strike as long as it's attacking.",3/1,-,,"Ryan Pancoast","コモン, ゲートウォッチの誓い (23/184) ",-
"コーの空登り/Kor Sky Climber （こーのそらのぼり） ","(２)(白)","クリーチャー — コー(Kor)・兵士(Soldier)・同盟者(Ally) ","(１)(白)：ターン終了時まで、コーの空登りは飛行を得る。","{1}{W}: Kor Sky Climber gains flying until end of turn.",3/2,-,,"Victor Adame Minguez","コモン, ゲートウォッチの誓い (24/184) ",-
"保護者、リンヴァーラ/Linvala, the Preserver （ほごしゃりんう゛ぁーら） ","(４)(白)(白)","伝説のクリーチャー — 天使(Angel) ","飛行保護者、リンヴァーラが戦場に出たとき、対戦相手１人のライフがあなたより多い場合、あなたは５点のライフを得る。保護者、リンヴァーラが戦場に出たとき、対戦相手１人があなたより多くのクリーチャーをコントロールしている場合、飛行を持つ白の3/3の天使(Angel)クリーチャー・トークンを１体戦場に出す。","FlyingWhen Linvala, the Preserver enters the battlefield, if an opponent has more life than you, you gain 5 life.When Linvala enters the battlefield, if an opponent controls more creatures than you, put a 3/3 white Angel creature token with flying onto the battlefield.",5/5,-,,"Magali Villeneuve","神話レア, ゲートウォッチの誓い (25/184) ",-
"抗戦/Make a Stand （こうせん） ","(２)(白)","インスタント ","ターン終了時まで、あなたがコントロールするクリーチャーは+1/+0の修整を受けるとともに破壊不能を得る。（ダメージや「破壊する」と書かれた効果では、それらは破壊されない。）","Creatures you control get +1/+0 and gain indestructible until end of turn. （Damage and effects that say ""destroy"" don't destroy them.）",-,-,,"Magali Villeneuve","アンコモン, ゲートウォッチの誓い (26/184) ",-
"マキンディの飛空士/Makindi Aeronaut （まきんでぃのひくうし） ","(１)(白)","クリーチャー — コー(Kor)・スカウト(Scout)・同盟者(Ally) ","飛行",Flying,1/3,-,,"Matt Stewart","コモン, ゲートウォッチの誓い (27/184) ",-
"力強い跳躍/Mighty Leap （ちからづよいちょうやく） ","(１)(白)","インスタント ","クリーチャー１体を対象とする。ターン終了時まで、それは+2/+2の修整を受けるとともに飛行を得る。","Target creature gets +2/+2 and gains flying until end of turn.",-,-,,"Winona Nelson","コモン, ゲートウォッチの誓い (28/184) ","OGW ORI M12 M11 MM2 DDG DDF "
"ムンダの先兵/Munda's Vanguard （むんだのせんぺい） ","(４)(白)","クリーチャー — コー(Kor)・騎士(Knight)・同盟者(Ally) ","盟友 ― (Ｔ),あなたがコントロールするアンタップ状態の同盟者(Ally)を１体タップする：あなたがコントロールする各クリーチャーの上にそれぞれ+1/+1カウンターを１個置く。","Cohort --- {T}, Tap an untapped Ally you control: Put a +1/+1 counter on each creature you control.",3/3,-,,"Steve Prescott","レア, ゲートウォッチの誓い (29/184) ",-
"ギデオンの誓い/Oath of Gideon （ぎでおんのちかい） ","(２)(白)","伝説のエンチャント ","ギデオンの誓いが戦場に出たとき、白の1/1のコー(Kor)・同盟者(Ally)クリーチャー・トークンを２体戦場に出す。あなたがコントロールする各プレインズウォーカーはそれぞれ、忠誠(loyalty)カウンターが追加で１個置かれた状態で戦場に出る。","When Oath of Gideon enters the battlefield, put two 1/1 white Kor Ally creature tokens onto the battlefield.Each planeswalker you control enters the battlefield with an additional loyalty counter on it.",-,-,,"Wesley Burt","レア, ゲートウォッチの誓い (30/184) ",-
"オンドゥの戦僧侶/Ondu War Cleric （おんどぅのいくさそうりょ） ","(１)(白)","クリーチャー — 人間(Human)・クレリック(Cleric)・同盟者(Ally) ","盟友 ― (Ｔ),あなたがコントロールするアンタップ状態の同盟者(Ally)を１体タップする：あなたは２点のライフを得る。","Cohort --- {T}, Tap an untapped Ally you control: You gain 2 life.",2/2,-,,"Ben Maier","コモン, ゲートウォッチの誓い (31/184) ",-
"救援隊長/Relief Captain （きゅうえんたいちょう） ","(２)(白)(白)","クリーチャー — コー(Kor)・騎士(Knight)・同盟者(Ally) ","救援隊長が戦場に出たとき、支援３を行う。（他のクリーチャーを最大３体対象とし、それらの上に+1/+1カウンターをそれぞれ１個置く。）","When Relief Captain enters the battlefield, support 3. （Put a +1/+1 counter on each of up to three other target creatures.）",3/2,-,,"Anastasia Ovchinnikova","アンコモン, ゲートウォッチの誓い (32/184) ",-
"焼尽の光/Searing Light （しょうじんのひかり） ","(白)","インスタント ","攻撃かブロックしているパワーが２以下のクリーチャー１体を対象とし、それを破壊する。","Destroy target attacking or blocking creature with power 2 or less.",-,-,,"Marco Nelor","コモン, ゲートウォッチの誓い (33/184) ",-
"戮力協心/Shoulder to Shoulder （りくりょくきょうしん） ","(２)(白)","ソーサリー ","支援２を行う。（クリーチャーを最大２体対象とし、それらの上に+1/+1カウンターをそれぞれ１個置く。）カードを１枚引く。","Support 2. （Put a +1/+1 counter on each of up to two target creatures.）Draw a card.",-,-,,"Chris Rallis","コモン, ゲートウォッチの誓い (34/184) ",-
"落とし子縛りの魔道士/Spawnbinder Mage （おとしごしばりのまどうし） ","(３)(白)","クリーチャー — 人間(Human)・ウィザード(Wizard)・同盟者(Ally) ","盟友 ― (Ｔ),あなたがコントロールするアンタップ状態の同盟者(Ally)を１体タップする：クリーチャー１体を対象とし、それをタップする。","Cohort --- {T}, Tap an untapped Ally you control: Tap target creature.",2/4,-,,"Dan Scott","コモン, ゲートウォッチの誓い (35/184) ",-
"草原の滑空獣/Steppe Glider （そうげんのかっくうじゅう） ","(４)(白)","クリーチャー — エレメンタル(Elemental) ","飛行、警戒(１)(白)：+1/+1カウンターが置かれているクリーチャー１体を対象とする。ターン終了時まで、それは飛行と警戒を得る。","Flying, vigilance{1}{W}: Target creature with a +1/+1 counter on it gains flying and vigilance until end of turn.",2/4,-,,"John Severin Brassell","アンコモン, ゲートウォッチの誓い (36/184) ",-
"岩屋の装備役/Stone Haven Outfitter （いわやのそうびやく） ","(１)(白)","クリーチャー — コー(Kor)・工匠(Artificer)・同盟者(Ally) ","あなたがコントロールする、装備しているクリーチャーは+1/+1の修整を受ける。あなたがコントロールする、装備しているクリーチャーが１体死亡するたび、カードを１枚引く。","Equipped creatures you control get +1/+1.Whenever an equipped creature you control dies, draw a card.",2/2,-,,"Jason Rainville","レア, ゲートウォッチの誓い (37/184) ",-
"石鍛冶の見習い/Stoneforge Acolyte （いしかじのみならい） ","(白)","クリーチャー — コー(Kor)・工匠(Artificer)・同盟者(Ally) ","盟友 ― (Ｔ),あなたがコントロールするアンタップ状態の同盟者(Ally)を１体タップする：あなたのライブラリーの一番上から４枚のカードを見る。あなたはその中から装備品(Equipment)カードを１枚公開してもよい。そうしたなら、それをあなたの手札に加え、残りをあなたのライブラリーの一番下に望む順番で置く。","Cohort --- {T}, Tap an untapped Ally you control: Look at the top four cards of your library. You may reveal an Equipment card from among them and put it into your hand. Put the rest on the bottom of your library in any order.",1/2,-,,"Chris Rallis","アンコモン, ゲートウォッチの誓い (38/184) ",-
"復興の壁/Wall of Resurgence （ふっこうのかべ） ","(２)(白)","クリーチャー — 壁(Wall) ","防衛復興の壁が戦場に出たとき、あなたがコントロールする土地１つを対象とする。あなたはそれの上に+1/+1カウンターを３個置いてもよい。そうしたなら、その土地は速攻を持つ0/0のエレメンタル(Elemental)・クリーチャーになる。それは土地でもある。","DefenderWhen Wall of Resurgence enters the battlefield, you may put three +1/+1 counters on target land you control. If you do, that land becomes a 0/0 Elemental creature with haste that's still a land.",0/6,-,,"Daniel Ljunggren","アンコモン, ゲートウォッチの誓い (39/184) ",-
"難解な干渉/Abstruse Interference （なんかいなかんしょう） ","(２)(青)","インスタント ","欠色（このカードは無色である。）呪文１つを対象とする。そのコントローラーが(１)を支払わないかぎり、それを打ち消す。あなたは無色の1/1のエルドラージ(Eldrazi)・末裔(Scion)クリーチャー・トークンを１体戦場に出す。それは「このクリーチャーを生け贄に捧げる：あなたのマナ・プールに(◇)を加える。」を持つ。（(◇)は無色マナを表す。）","Devoid （This card has no color.）Counter target spell unless its controller pays {1}. You put a 1/1 colorless Eldrazi Scion creature token onto the battlefield. It has ""Sacrifice this creature: Add {C} to your mana pool."" （{C} represents colorless mana.）",-,-,,"Igor Kieryluk","コモン, ゲートウォッチの誓い (40/184) ",-
"目潰しドローン/Blinding Drone （めつぶしどろーん） ","(１)(青)","クリーチャー — エルドラージ(Eldrazi)・ドローン(Drone) ","欠色（このカードは無色である。）(◇),(Ｔ)：クリーチャー１体を対象とし、それをタップする。（(◇)は無色マナを表す。）","Devoid （This card has no color.）{C}, {T}: Tap target creature. （{C} represents colorless mana.）",1/3,-,,"Lake Hurwitz","コモン, ゲートウォッチの誓い (41/184) ",-
"耕作ドローン/Cultivator Drone （こうさくどろーん） ","(２)(青)","クリーチャー — エルドラージ(Eldrazi)・ドローン(Drone) ","欠色（このカードは無色である。）(Ｔ)：あなたのマナ・プールに(◇)を加える。このマナは、無色の呪文を唱えるためか、無色のパーマネントの能力を起動するためか、(◇)を含むコストを支払うためにのみ使用できる。（(◇)は無色マナを表す。）","Devoid （This card has no color.）{T}: Add {C} to your mana pool. Spend this mana only to cast a colorless spell, activate an ability of a colorless permanent, or pay a cost that contains {C}. （{C} represents colorless mana.）",2/3,-,,"Slawomir Maniak","コモン, ゲートウォッチの誓い (42/184) ",-
"深水潜み/Deepfathom Skulker （しんすいひそみ） ","(５)(青)","クリーチャー — エルドラージ(Eldrazi) ","欠色（このカードは無色である。）あなたがコントロールするクリーチャー１体がプレイヤー１人に戦闘ダメージを与えるたび、あなたはカードを１枚引いてもよい。(３)(◇)：クリーチャー１体を対象とする。このターン、それはブロックされない。（(◇)は無色マナを表す。）","Devoid （This card has no color.）Whenever a creature you control deals combat damage to a player, you may draw a card.{3}{C}: Target creature can't be blocked this turn. （{C} represents colorless mana.）",4/4,-,,"Joseph Meehan","レア, ゲートウォッチの誓い (43/184) ",-
"次元潜入者/Dimensional Infiltrator （じげんせんにゅうしゃ） ","(１)(青)","クリーチャー — エルドラージ(Eldrazi) ","欠色（このカードは無色である。）瞬速飛行(１)(◇)：対戦相手１人を対象とする。そのプレイヤーは、自分のライブラリーの一番上のカードを追放する。それが土地カードであるなら、あなたは次元潜入者をオーナーの手札に戻してもよい。（(◇)は無色マナを表す。）","Devoid （This card has no color.）FlashFlying{1}{C}: Target opponent exiles the top card of his or her library. If it's a land card, you may return Dimensional Infiltrator to its owner's hand. （{C} represents colorless mana.）",2/1,-,,"Chase Stone","レア, ゲートウォッチの誓い (44/184) ",-
"重力に逆らうもの/Gravity Negator （じゅくりょくにさからうもの） ","(３)(青)","クリーチャー — エルドラージ(Eldrazi)・ドローン(Drone) ","欠色（このカードは無色である。）飛行重力に逆らうものが攻撃するたび、他のクリーチャー１体を対象とする。あなたは(◇)を支払ってもよい。そうしたなら、ターン終了時まで、それは飛行を得る。（(◇)は無色マナを表す。）","Devoid （This card has no color.）FlyingWhenever Gravity Negator attacks, you may pay {C}. If you do, another target creature gains flying until end of turn. （{C} represents colorless mana.）",2/3,-,,"Chase Stone","コモン, ゲートウォッチの誓い (45/184) ",-
"歪みの預言者/Prophet of Distortion （ゆがみのよげんしゃ） ","(青)","クリーチャー — エルドラージ(Eldrazi)・ドローン(Drone) ","欠色（このカードは無色である。）(３)(◇)：カードを１枚引く。（(◇)は無色マナを表す。）","Devoid （This card has no color.）{3}{C}: Draw a card. （{C} represents colorless mana.）",1/2,-,,"Lius Lasahido","アンコモン, ゲートウォッチの誓い (46/184) ",-
"空間の擦り抜け/Slip Through Space （くうかんのすりぬけ） ","(青)","ソーサリー ","欠色（このカードは無色である。）クリーチャー１体を対象とする。このターン、それはブロックされない。カードを１枚引く。","Devoid （This card has no color.）Target creature can't be blocked this turn.Draw a card.",-,-,,"Raymond Swanland","コモン, ゲートウォッチの誓い (47/184) ",-
"思考刈り/Thought Harvester （しこうがり） ","(３)(青)","クリーチャー — エルドラージ(Eldrazi)・ドローン(Drone) ","欠色（このカードは無色である。）飛行あなたが無色の呪文を１つ唱えるたび、対戦相手１人を対象とする。そのプレイヤーは自分のライブラリーの一番上のカードを追放する。","Devoid （This card has no color.）FlyingWhenever you cast a colorless spell, target opponent exiles the top card of his or her library.",2/4,-,,"Winona Nelson","アンコモン, ゲートウォッチの誓い (48/184) ",-
"虚空の粉砕/Void Shatter （こくうのふんさい） ","(１)(青)(青)","インスタント ","欠色（このカードは無色である。）呪文１つを対象とし、それを打ち消す。これによりその呪文が打ち消されたなら、それをオーナーの墓地に置く代わりに追放する。","Devoid （This card has no color.）Counter target spell. If that spell is countered this way, exile it instead of putting it into its owner's graveyard.",-,-,,"Jason Felix","アンコモン, ゲートウォッチの誓い (49/184) ",-
"古代ガニ/Ancient Crab （こだいがに） ","(１)(青)(青)","クリーチャー — カニ(Crab) ",,,1/5,-,,"Steve Prescott","コモン, ゲートウォッチの誓い (50/184) ",-
"比較分析/Comparative Analysis （ひかくぶんせき） ","(３)(青)","インスタント ","怒涛(２)(青)（あなたかチームメイトがこのターンに他の呪文を唱えていたなら、あなたはこの呪文を怒涛コストで唱えてもよい。）プレイヤー１人を対象とする。そのプレイヤーはカードを２枚引く。","Surge {2}{U} （You may cast this spell for its surge cost if you or a teammate has cast another spell this turn.）Target player draws two cards.",-,-,,"Willian Murai","コモン, ゲートウォッチの誓い (51/184) ",-
"封止の被膜/Containment Membrane （ふうしのひまく） ","(２)(青)","エンチャント — オーラ(Aura) ","怒涛(青)（あなたかチームメイトがこのターンに他の呪文を唱えていたなら、あなたはこの呪文を怒涛コストで唱えてもよい。）エンチャント（クリーチャー）エンチャントされているクリーチャーは、それのコントローラーのアンタップ・ステップにアンタップしない。","Surge {U} （You may cast this spell for its surge cost if you or a teammate has cast another spell this turn.）Enchant creatureEnchanted creature doesn't untap during its controller's untap step.",-,-,,Daarken,"コモン, ゲートウォッチの誓い (52/184) ",-
"押し潰す触手/Crush of Tentacles （おしつぶすしょくしゅ） ","(４)(青)(青)","ソーサリー ","怒涛(３)(青)(青)（あなたかチームメイトがこのターンに他の呪文を唱えていたなら、あなたはこの呪文を怒涛コストで唱えてもよい。）すべての土地でないパーマネントをオーナーの手札に戻す。押し潰す触手の怒涛コストが支払われていたなら、青の8/8のタコ(Octopus)・クリーチャー・トークンを１体戦場に出す。","Surge {3}{U}{U} （You may cast this spell for its surge cost if you or a teammate has cast another spell this turn.）Return all nonland permanents to their owners' hands. If Crush of Tentacles's surge cost was paid, put an 8/8 blue Octopus creature token onto the battlefield.",-,-,,"Jama Jurabaev","神話レア, ゲートウォッチの誓い (53/184) ",-
"竜巻の種父/Cyclone Sire （たつまきのしゅふ） ","(４)(青)","クリーチャー — エレメンタル(Elemental) ","飛行竜巻の種父が死亡したとき、あなたがコントロールする土地１つを対象とする。あなたはそれの上に+1/+1カウンターを３個置いてもよい。そうしたなら、その土地は速攻を持つ0/0のエレメンタル(Elemental)・クリーチャーになる。それは土地でもある。","FlyingWhen Cyclone Sire dies, you may put three +1/+1 counters on target land you control. If you do, that land becomes a 0/0 Elemental creature with haste that's still a land.",3/4,-,,"Igor Kieryluk","アンコモン, ゲートウォッチの誓い (54/184) ",-
"牙の贈り物/Gift of Tusks （きばのおくりもの） ","(青)","インスタント ","クリーチャー１体を対象とする。ターン終了時まで、それはすべての能力を失うとともに基本のパワーとタフネスが3/3の緑の象(Elephant)になる。","Until end of turn, target creature loses all abilities and becomes a green Elephant with base power and toughness 3/3.",-,-,,"Kev Walker","アンコモン, ゲートウォッチの誓い (55/184) ",-
"乱動の握撃/Grip of the Roil （らんどうのあくげき） ","(２)(青)","インスタント ","怒涛(１)(青)（あなたかチームメイトがこのターンに他の呪文を唱えていたなら、あなたはこの呪文を怒涛コストで唱えてもよい。）クリーチャー１体を対象とし、それをタップする。それは、それのコントローラーの次のアンタップ・ステップにアンタップしない。カードを１枚引く。","Surge {1}{U} （You may cast this spell for its surge cost if you or a teammate has cast another spell this turn.）Tap target creature. It doesn't untap during its controller's next untap step.Draw a card.",-,-,,"Volkan Baga","アンコモン, ゲートウォッチの誓い (56/184) ",-
